Name,WHO_Region,Cases_cumulative_total,Cases_cumulative_total _per_1_million_population,Cases_newly_reported_in_last_7_days,Cases - newly reported in last 24 hours,Deaths_cumulative_total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification,Lat,Long_
Global,,82579768,10578.59103821797,3760317,640505,1818849,232.99726067614668,71275,11237,
United States of America,Americas,19578217,59148.22,1074717,231427,339550,1025.82,13228,3761,Community transmission,37.090240,-95.712891
India,South-East Asia,10305788,7467.94,136670,19079,149218,108.13,1875,224,Clusters of cases,20.593683,78.962883
Brazil,Americas,7675973,36112.13,250380,56773,194949,917.15,4943,1074,Community transmission,-14.235004,-51.925282
Russian Federation,Europe,3212637,22014.24,190673,26301,58002,397.45,3776,447,Clusters of cases,61.524010,105.318756
France,Europe,2595661,39765.92,90587,19241,64387,986.42,2336,133,Community transmission,46.227638,2.213749
The United Kingdom,Europe,2542069,37446.14,320753,53285,74125,1091.9,3930,613,Community transmission,55.378052,-3.435973
Italy,Europe,2129376,35218.52,101022,22210,74621,1234.18,3262,462,Clusters of cases,41.890560,12.494270
Spain,Europe,1893502,40498.58,20872,0,50442,1078.86,233,0,Community transmission,40.463669,-3.749220
Germany,Europe,1755351,20950.92,128248,12690,33960,405.33,4538,336,Clusters of cases,51.165691,10.451526
Colombia,Americas,1642775,32285.41,83009,16314,43213,849.26,1759,304,Community transmission,4.570868,-74.297333
Argentina,Americas,1625514,35966.06,53834,11586,43245,956.84,853,82,Community transmission,-38.416096,-63.616673
Mexico,Americas,1426094,11060.76,63530,12159,125807,975.76,4635,910,Community transmission,23.634501,-102.552788
Turkey,Europe,1406517,16676.93,102600,12203,21093,250.1,1722,212,Community transmission,38.963745, 35.243320
Poland,Europe,1312780,34686.86,58823,7006,29058,767.78,1997,102,Community transmission,51.919437, 19.145136
Iran (Islamic Republic of),Eastern Mediterranean,1231429,14661.1,42226,6286,55337,658.83,897,114,Community transmission,35.686401, 51.432861
Ukraine,Europe,1069517,24455.18,49641,5038,18731,428.3,1029,51,Community transmission,50.447731, 30.542721
South Africa,Africa,1057561,17831.47,88998,18400,28469,480.01,2486,436,Community transmission,-30.559483, 22.937506
Peru,Americas,1015137,30787.99,11155,2523,37680,1142.79,363,59,Community transmission,-9.189967, -75.015152
Netherlands,Europe,805731,47022.88,61440,8215,11537,673.31,612,98,Community transmission,52.132633, 5.291266
Indonesia,South-East Asia,751270,2746.64,51173,8072,22329,81.63,1482,191,Community transmission,-6.174760, 106.827070
Czechia,Europe,735469,68677.78,67900,3447,11827,1104.4,877,116,Community transmission,12.841150, 15.530190
Belgium,Europe,648289,55937.02,9889,1,19581,1689.53,385,8,Community transmission,50.503887, 4.469936
Romania,Europe,636201,33070.55,23828,3938,15841,823.44,828,74,Community transmission,45.943161, 24.966761
Chile,Americas,612564,32044.23,16733,3591,16660,871.51,302,52,Community transmission,-35.675148, -71.542969
