Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,84780171,10860.465933486117,4268275,524417,1853525,237.43930782310943,76690,9952,
United States of America,Americas,20643544,62366.7,1495917,173375,350753,1059.67,18330,1791,Community transmission
India,South-East Asia,10374932,7518.04,130080,18088,150114,108.78,1675,264,Clusters of cases
Brazil,Americas,7753752,36478.05,248919,20006,196561,924.73,4991,543,Community transmission
Russian Federation,Europe,3284384,22505.88,179347,24246,59506,407.76,3679,518,Clusters of cases
The United Kingdom,Europe,2713567,39972.4,383833,58784,75431,1111.14,4322,407,Community transmission
France,Europe,2615185,40065.03,96080,3569,65035,996.35,2303,376,Community transmission
Italy,Europe,2166244,35828.29,109967,10798,75680,1251.7,3310,348,Clusters of cases
Spain,Europe,1893502,40498.58,7717,0,50442,1078.86,36,0,Community transmission
Germany,Europe,1787410,21333.56,122684,11897,35518,423.92,4540,944,Clusters of cases
Colombia,Americas,1686131,33137.48,82324,10311,44187,868.41,1813,222,Community transmission
Argentina,Americas,1648940,36484.38,58427,8222,43634,965.44,766,152,Community transmission
Mexico,Americas,1455219,11286.65,65789,6464,127757,990.88,4902,544,Community transmission
Turkey,Europe,1441269,17088.98,92832,13695,21685,257.12,1550,197,Community transmission
Poland,Europe,1330543,35156.2,61909,7596,29502,779.51,2048,341,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1255620,14949.11,43139,6113,55748,663.72,802,98,Community transmission
South Africa,Africa,1113349,18772.11,101478,12601,30011,506.01,2940,434,Community transmission
Ukraine,Europe,1083585,24776.85,46223,5334,19129,437.4,1048,202,Community transmission
Peru,Americas,1021058,30967.56,12150,1583,37873,1148.65,348,43,Community transmission
Netherlands,Europe,827726,48306.52,57527,6563,11675,681.36,638,63,Community transmission
Indonesia,South-East Asia,779548,2850.02,52426,7445,23109,84.49,1406,198,Community transmission
Czechia,Europe,759635,70934.39,74433,12921,12257,1144.55,955,187,Community transmission
Belgium,Europe,650887,56161.19,8035,2,19750,1704.11,367,8,Community transmission
Romania,Europe,643559,33453.03,25130,3130,16057,834.66,723,78,Community transmission
Chile,Americas,623101,32595.44,19115,2460,16788,878.21,300,21,Community transmission
Canada,Americas,611424,16200.03,52360,9761,16074,425.89,852,209,Community transmission
Iraq,Eastern Mediterranean,599126,14895.3,5585,757,12856,319.62,56,12,Community transmission
Bangladesh,South-East Asia,517920,3144.83,6659,991,7670,46.57,161,20,Community transmission
